Accepted scientific name of species ,Common.Name,Vernacular.Name,Growth.Habit,Duration,Group,Source
Acacia mearnsii De Wild.,Black Wattle,Chavukku (tam),Shrub;Tree,Perennial,Dicot,TRY;NRCS
Acacia melanoxylon R.Br.,Australian Blackwood,"Jaali (kan), Chimaivel (tam)",Shrub;Tree,Perennial,Dicot,TRY;NRCS
Acacia myrtifolia (Sm.) Willd.,Myrtle Wattle,,Shrub;Tree,Perennial,Dicot,NRCS;PLANTNET
Acacia neriifolia Benth.,Oleander-Leaved Wattle,,Shrub;Tree,Perennial,Dicot,PLANTNET
Acacia nilotica (L.) Delile,Gum Arabic Tree ,"Babool, Kikar (hin); Babul (mar); Nalla tumma (tel); Babli (kan); Karivelam (mal); KaRuvELai (tam), Babaria (guj)",Shrub;Tree,Perennial,Dicot,TRY;NRCS
Acacia omalophylla Benth.,Yarran,,Shrub;Tree,Perennial,Dicot,NRCS;PLANTNET
Acacia paradoxa DC.,Paradox Acacia,,Shrub;Tree,Perennial,Dicot,NRCS
Acacia pulchella R.Br.,Western Prickly Moses,,Shrub;Tree,Perennial,Dicot,NRCS;https://apps.lucidcentral.org/wattle/text/entities/acacia_pulchella_var._pulchella.htm;accessed on:31 May 2020
Acacia pycnantha Benth.,Australian Golden Wattle,,Shrub;Tree,Perennial,Dicot,NRCS
Acacia retinodes Schltdl.,Retinodes Water Wattle,,Shrub;Tree,Perennial,Dicot,TRY;NRCS
Acacia richii A.Gray,,,Tree,Perennial,Dicot,NRCS;UTP
Acacia saligna (Labill.) H.L.Wendl.,Port Jackson Wattle,,Shrub;Tree,Perennial,Dicot,NRCS
Acacia senegal (L.) Willd.,"Gum Arabic Tree, Gum Acacia, Gum Senegal Tree","Kumttha, Kumatiyo, Kumat, Kumatio (hin); Khair (mar); Babul, Shvetakhadira (san)",Shrub;Tree,Perennial,Dicot,POWO
Acacia sphaerocephala Cham. & Schltdl.,Bee Wattle,,Tree,Perennial,Dicot,NRCS
Acacia truncata Hoffmanns.,Angle Leaved Wattle,,Shrub;Tree,Perennial,Dicot,ALA
Acacia verticillata (L'Her.) Willd.,Prickly Moses,,Shrub;Tree,Perennial,Dicot,NRCS
Acalypha ciliata Forssk.,Fringed Acalypha,"Dadari (guj); Kuppigida, Thuppa keere (kan); kuppameni (mal); kupi, lahan khokhali (mar); haritamanjari (san); nugu kuppinta, tella muripinda (tel); kuppi dai (tcy)",Herb,Annual,Dicot,TRY
Acanthospermum hispidum DC.,Bristly Starbur,"Kadlemullu, Kadale mullu (kan); Landga (mar); Palleru (tel); Kantagokhru (ori)",Herb,Annual;Perennial,Dicot,TRY;NRCS
Acanthus mollis L.,Bear'S Breech,,Herb,Perennial,Dicot,NRCS
Acanthus montanus (Nees) T.Anderson,"Alligator Plant, Bear'S Breech, Mountain Thistle",,Herb;Shrub,Perennial,Dicot,DG
Acer pseudoplatanus L.,Sycamore,,Tree,Perennial,Dicot,NRCS
Achetaria azurea (Linden) V.C.Souza,"Amazon Blue, Achetaria Species, Brazilian Snapdragon ",,Shrub,Perennial,Dicot,FOI
Achillea millefolium L.,Common Yarrow,"Gandrain, Puthkanda, Bhut Kesi (hin); Rojmaari (mar); Achchilliya (tam); Rajmari (knn); Tukhm gandana, Buiranjasif, Brinjasuf (urd)",Herb,Perennial,Dicot,NRCS
Achimenes longiflora DC.,Cupid'S Bower,,Herb,Perennial,Dicot,FOI
Achyranthes aspera L.,Devil'S Horsewhip,"Uttareni (Tel), Nayuruvi (Tam), Aghada (M), Apamaranga (O)",Herb;Shrub,Perennial,Dicot,TRY;NRCS
Acmella ciliata (Kunth) Cass.,Fringed Pod Toothache Plant,An'sa-te (lus),Herb,Perennial,Dicot,TRY;FOI
Acmella radicans (Jacq.) R.K.Jansen,White Spot-Flower,An'sa-te-par-var (lus),Herb,Annual,Dicot,TRY;FOI
Acmella uliginosa (Sw.) Cass.,Marsh Para Cress,An'sa-te-chi-khat (lus),Herb,Annual,Dicot,TRY;NRCS;FOI
Adenophyllum cooperi (A.Gray) Strother,Cooper'S Dogweed,,Shrub,Perennial,Dicot,NRCS
Adenostemma lavenia (L.) Kuntze,Sticky Daisy,Jangli-jira (hin); Ghanerem (knn); Vai-len-hlo-suak (lus),Herb,Perennial,Dicot,TRY;NRCS
Adonidia merrillii (Becc.) Becc.,Manila Palm,,Shrub;Tree,Perennial,Monocot,FOI
Aechmea nudicaulis (L.) Griseb.,Foolproof Plant,,Herb,Perennial,Monocot,NRCS
Aeluropus lagopoides (L.) Thwaites,Mamoncillo,"nona durba, khariyu gah, lolar, dola gavat, katal arukampul, puvvu gaddi",Graminoid,Perennial,Monocot,TRY;NRCS;FOI
Aeonium arboreum Webb & Berthel.,Tree Aenium,,Shrub,Perennial,Dicot,NRCS
Aerva javanica (Burm.f.) Juss. ex Schult.,Java Aerva,"Bour (guj); safed bui (hin); dodda hindi gida (kan); kal, khul (mar); Bui (raj); cimili, periya-pulai (tam); magabira, pedda pindi, pindi konda (tel)",Shrub,Perennial,Dicot,TRY;NRCS;FOI
Aeschynomene americana L.,American Joint Vetch,"sol ghas, soli (hin); netti (tam)",Herb;Shrub,Perennial,Dicot,TRY;NRCS
Aeschynomene brasiliana (Poir.) DC.,Brazilian Jointvetch,,Graminoid,Annual;Perennial,Dicot,NRCS;https://www.daf.qld.gov.au/__data/assets/pdf_file/0006/74445/IPA-Brazilian-Jointvetch-Risk-Assessment.pdf;accessed on:31 May 2020
Aeschynomene indica L.,Indian Joint Vetch,"Didhen, Phulan, Chhuimui, Laugauni (hin); Nalabi (mar); Sola (npi); Chatai, kitai, kitaichchi, netti, takkaippuntu (tam); neli-tali, nelitali, nellittali (mal); jeeluga, tella jeeluga, bendu (tel); Bendukasa, Bendu kasa (kan); kath shola (ben); Kuhila (asm)",Shrub,Annual;Perennial,Dicot,TRY;NRCS
Agapanthus africanus (L.) Hoffmanns.,Lily Of The Nile,,Herb,Perennial,Monocot,TRY;NRCS;FOI
Agapanthus praecox Willd.,African-Lily,,Herb,Perennial,Monocot,NRCS
Agave americana L.,Century Plant,"Kamal cactus, Gwarpatha (hin); Kewa (mni); Kittanara (tel); Aanekattaale, Devva baale, Raakshasa baale, Bhootaale, Kalnaaru, Kattali, Kattale, Kantala (kan); Kantala (Sankrit); Kumza-pal (lus)",Herb;Shrub,Perennial,Monocot,TRY;NRCS
Agave cantala (Haw.) Roxb. ex Salm-Dyck,Bombay Aloe,"Chota Guial, Guial (mar)",Shrub,Perennial,Monocot,NRCS;https://uses.plantnet-project.org/en/Agave_cantala_(PROSEA);accessed on:31 May 2020
Agave salmiana Otto ex Salm-Dyck,"Giant Agave, Century Plant, Maguey",,Shrub,Perennial,Monocot,DG
Agave vera-cruz Mill.,,Kektad (mar),Shrub,Perennial,Monocot,FPI;IBP
Agave vivipara L.,Caribbean Century Plant,"Kathaalai (tam); Baramasi (ori); Balurakkasi (tel); Kittanara, Samatha (tel)",Herb,Perennial,Monocot,TRY;FOI
Ageratina adenophora (Spreng.) R.M.King & H.Rob.,Catweed,"Osadi (mar); kammunista pachcha (mal); Banmara (npi); Bihar-hlo, Midum-hlo (lus)",Herb;Shrub,Perennial,Dicot,TRY;NRCS
Ageratina ligustrina (DC.) R.M.King & H.Rob.,Privet-Leaved Ageratina,,Shrub,Perennial,Dicot,TRY;http://qa.rhs.org.uk/plants/185914/ageratina-ligustrina/detailsnew;accessed on:31 May 2020
Ageratina riparia (Regel) R.M.King & H.Rob.,Mistflower,Hlo-thar (lus),Shrub,Perennial,Dicot,TRY;NRCS
Ageratum conyzoides (L.) L.,Goat Weed,"Jangli pudina, Visadodi, Semandulu, Gha buti, Bhakumbar (hin); Khongjai napi (mni); Ghanera osaadi (mar); Oorala gida, Helukasa, Shweta sahadevi (kan); Pumppillu, Appakkoti (tam); Kattappa, Muriyan pacca (mal); Uchunti (ben); Visamustih (san); Bhedaa Jhaar, Boke Ghaans, Ganamane Ghaans, Ganaaune Jhaar, Seto Rawanne, Gandhe (npi); Vai-len-hlo (lus)",Herb,Annual;Perennial,Dicot,TRY;NRCS
Ageratum houstonianum Mill.,Floss Flower,"Nilo Gandhe, Gandhe Jhaar (npi)",Herb,Annual;Perennial,Dicot,TRY;NRCS
Agonis flexuosa (Muhl. ex Willd.) Sweet,"Australian Willow Myrtle, Peppermint Tree",,Tree,Perennial,Dicot,DG
Agrostemma githago L.,Common Corncockle,,Herb,Annual,Dicot,TRY;NRCS
Agrostis idahoensis Nash,Idaho Bent Grass,,Graminoid,Perennial,Monocot,NRCS
Aidia cochinchinensis Lour.,,,Tree,Perennial,Dicot,NRCS;EOL
Ailanthus altissima (Mill.) Swingle,Tree Of Heaven,,Tree,Perennial,Dicot,TRY;NRCS
Aiphanes horrida (Jacq.) Burret,"Aculeata Palm, Coyure Palm, Ruffle Palm, Spine Palm",,Shrub,Perennial,Monocot,DG
Albizia lebbeck (L.) Benth.,Siris Tree,Saras (hin); Khok (mni); Siridam (tam); Vaga (mal); Tinia (urd); Kaalo Siris (npi); Thingchawk-e (lus),Tree,Perennial,Dicot,TRY;NRCS
Albizia niopoides (Benth.) Burkart,Silk Tree,,Tree,Perennial,Dicot,POWO
Alcea rosea L.,Hollyhock,"Sazi poosh, Sazi mool (kas); Gulkhaira (urd); Chitra Seavati, Gurvo (npi)",Herb,Biennial;Perennial,Dicot,TRY;NRCS
Aleurites rockinghamensis (Baill.) P.I.Forst.,"Indian Walnut, Candlenut Tree, Country Walnut, Aburagiri, Ama",,Tree,Perennial,Dicot,DG
Alisma gramineum Lej.,Narrowleaf Water Plantain,,Herb,Perennial,Monocot,TRY;NRCS
Alisma lanceolatum With.,Lanceleaf Water Plantain,,Herb,Perennial,Monocot,FOI
Allamanda cathartica L.,Golden Trumpet Vine,"Arsina hoo, Haladi hoo, Allamanda (kan)",Herb;Vine,Perennial,Dicot,TRY;NRCS
Alliaria petiolata (M.Bieb.) Cavara & Grande,Garlic Mustard,,Herb,Annual;Biennial,Dicot,NRCS
Allium ampeloprasum L.,"Elephant Garlic, Wild Leek, Levant garlic",,Herb,Perennial,Dicot,POWO;MBG
Allocasuarina acuaria (F.Muell.) L.A.S.Johnson,,,Tree,Perennial,Dicot,ALA
Allocasuarina littoralis (Salisb.) L.A.S.Johnson,Black Sheoak,,Tree,Perennial,Dicot,TRY;NRCS;DG
Allocasuarina torulosa (Aiton) L.A.S.Johnson,Forest Sheoak,,Tree,Perennial,Dicot,NRCS;DG
Allocasuarina verticillata (Lam.) L.A.S.Johnson,Drooping She-Oak,,Tree,Perennial,Dicot,NRCS;DG
Alnus glutinosa (L.) Gaertn.,Black Alder,,Tree,Perennial,Dicot,NRCS
Aloe vera (L.) Burm.f.,Aloe Vera,Chothukathalai (tam); Ghee-kuanri (ori),Herb,Perennial,Monocot,TRY;NRCS
Alopecurus aequalis Sobol.,Shortawn Foxtail,,Graminoid,Perennial,Monocot,TRY;NRCS
Alopecurus arundinaceus Poir.,Creeping Meadow Foxtail,,Graminoid,Perennial,Monocot,TRY;NRCS
Aloysia citriodora Palau,Lemon Verbena,,Shrub,Perennial,Dicot,TRY;NRCS
Alphitonia excelsa (Fenzl) Reissek ex Benth.,Red Ash; Soap Tree,,Tree,Perennial,Dicot,http://www.hear.org/pier/species/alphitonia_excelsa.htm;accessed on: 31 May 2020
Alpinia oceanica Burkill,,,Shrub,Perennial,Monocot,UTP
Alpinia purpurata (Vieill.) K.Schum.,Red Ginger,,Herb,Perennial,Monocot,NRCS
Alpinia vittata W.Bull,"Striped Narrow-Leaf Ginger, Variegated Ginger",,Shrub,Perennial,Monocot,FOI
Alstonia neriifolia D.Don,,,Tree,Perennial,Dicot,FPI
Alstroemeria aurea Graham,Peruvian-Lily,,Bulb,Perennial,Monocot,NRCS;FOI
Alternanthera bettzickiana (Regel) G.Nicholson,Calico Plant,,Herb,Perennial,Dicot,FOI
Alternanthera brasiliana (L.) Kuntze,Joy Weed,,Herb;Vine,Perennial,Dicot,TRY;NRCS
Alternanthera caracasana Kunth,Washerwoman,,Herb,Perennial,Dicot,NRCS
Alternanthera ficoidea (L.) Sm.,Sanguinarea,Kusal (mar),Herb,Perennial,Dicot,TRY;NRCS
Alternanthera littoralis P.Beauv.,,,Herb,Perennial,Dicot,TRY;UTP
Alternanthera paronychioides A.St.-Hil.,Smooth Chaff Flower,,Herb,Perennial,Dicot,TRY;NRCS
Alternanthera philoxeroides (Mart.) Griseb.,Alligator Weed,"Danta (ben); Dodda honagone, Mosale honagone (kan); Kabonapi (mni)",Herb,Perennial,Dicot,TRY;NRCS
Alternanthera pungens Kunth,Khaki Weed,Mullu honagonne (kan),Herb,Perennial,Dicot,TRY;NRCS
Alternanthera sessilis (L.) R.Br. ex DC.,Sessile Joyweed,"Garundi, Guroo (hin); Phakchet (mni); Kanchari (mar); Ponnanganni (tam); Ponnankannikkira (mal); Ponnagantikura (tel); Honagonne (kan); Madaranga (ori); Koypa (knn); Matsyaksi (san); Bhiringi Jhaar, AAnkhe Jhaar, Bhaale Bhringaraaj, Bisaaune Jhaar, Jibre Paate, Dube Jhaar (npi); Ngha-te-ril (lus)",Herb,Annual;Perennial,Dicot,TRY;NRCS
Alternanthera spinosa (Hornem.) Schult.,Joyweeds,,Herb,Annual;Perennial,Dicot,POWO
Althaea ludwigii L.,Ludwig'S Marshmallow,,Herb,Annual;Perennial,Dicot,TRY;FOI
Althaea officinalis L.,Common Marshmallow,,Herb,Perennial,Dicot,NRCS
Alysicarpus vaginalis (L.) DC.,Alyce Clover,Musaraaku (tel),Herb,Annual;Perennial,Dicot,TRY;NRCS
Amaranthus blitum L.,Purple Amaranth,Chirikoora (tel),Herb,Annual,Dicot,TRY;NRCS
Amaranthus caudatus L.,Love Lies Bleeding,"Chauli, Chawli, Chulai, Kedari-chua (hin); chilike, Raaja keere, Sirukeere, Keelu harive (kan); Chengkruk angangba (mni); Bhaji, Raajagira (mar); Chikapputtottakkirai, Chirukirai (tam); Netakoora (tel); Tukhm chaulai surkh (urd)",Herb,Annual,Dicot,TRY;NRCS
Amaranthus cruentus L.,Red Amaranth,"Chaulai, Lal sag, ramdana (hin); rajgiri (kan); bustan afroz, mawal (kas); rajgiri (knn); rajgira, shravani maath (mar); taj khurus (pan); rajagiri (san); pu-n-kirai (tam); Gul-kesh (urd)",Herb,Annual,Dicot,TRY;NRCS
Amaranthus hybridus L.,Smooth Pigweed,"Thandukeerai, Punjikkeerai (tam); Rajgira (mar); Dantukura (tel); Chua, Chaulai (hin); Dantusoppu (kan)",Herb,Annual,Dicot,TRY;NRCS
Amaranthus palmeri S.Watson,Palmer Amaranth,,Herb,Annual,Dicot,TRY;NRCS
Amaranthus polygonoides L.,,,Herb,Annual,Dicot,NRCS
Amaranthus retroflexus L.,Redroot Amaranth,,Herb,Annual,Dicot,NRCS
Amaranthus spinosus L.,Prickly Amaranth,"Kanta chaulai (hin); Chengkruk (mni); kante bhaji, kante math (mar); mullukkeerai (tam); Kattumullenkeera (mal); Lenhling (lus); mullatotakura (tel); Mullu haruve, Mullu harive (kan); Kantanotya (ben); Tanduliuyah (san); Kaande Lunde, Bandanee, Ban Lunde (npi)",Herb,Annual,Dicot,TRY;NRCS
Amaranthus tricolor L.,Elephant-Head Amaranth,"Bishalya karani, Bishalya (asm); Dengua (ben); Lal sag, Chaulai (hin); Dantina soppu, Chikka Harive soppu, Kunamba, Harive (kan); Chengkruk tingkhang (mni); Chavalaayi, Ranmaath, Thambada maath (mar); Bajjisag (ori); Alpamarisa, Marisa, Meghanada, Panyasaka (san); Thandukkerai, Cherukerai (tam); Thotakoora, Bhadara, Dantu koora (tel)",Herb,Annual,Dicot,TRY;NRCS
Amaranthus viridis L.,Green Amaranth,"Jungali chaulayi (hin); Kere soppu, Daggi soppu (kan); ranbhaji (knn); kuppacheera (mal); Lam chengkruk (mni); math, unadabhaji (mar); Tanduliya (san); kuppai-k-kirai (tam); chilaka-thotakoora (tel); Lunde Saag (npi); Lenhling-hling-nei-lo (lus)",Herb,Annual,Dicot,TRY;NRCS
Amaryllis belladonna L.,Belladonna Lily,,Herb,Perennial,Monocot,NRCS
Ambrosia artemisiifolia L.,Common Ragweed,,Herb,Annual,Dicot,TRY;NRCS
Ambrosia polystachya DC.,"Perennial Ragweed, Western Ragweed, Cuman Ragweed",,Herb,Perennial,Dicot,EOL
Amphilophium buccinatorium (DC.) L.G.Lohmann,Mexican Blood-Trumpet,,Vine,Perennial,Dicot,FOI
Anacardium occidentale L.,Cashew,"Kaju (hin); Kaju (mni); Kaju (mar); Mundiri, Andima (tam); Kasu mavu (mal); Munthamamidi (tel); Godambi, Geru, Gove (Kannda); Hijli Badam (ben); Kazu (knn); Bhallatak, Agnikrita (san); Sazupumpui-thei (lus)",Tree,Perennial,Dicot,TRY;NRCS
Anacyclus australis Sieber,"Common cotula, Carrot weed",,Herb,Annual,Dicot,POWO
Anagallis arvensis L.,Scarlet Pimpernel,Jonkomari (hin); Suryakanthi soppu (kan),Herb,Annual;Biennial,Dicot,TRY;NRCS
Andropogon hallii Hack.,Sand Bluestem,,Graminoid,Perennial,Monocot,NRCS
Anemone hupehensis (É.Lemoine) É.Lemoine,Japanese thimbleweed,,Herb,Perennial,Dicot,POWO;MBG
Anethum graveolens L.,Dill,"Suva (guj); Soya (hin); Sabbasige, Sabaseege, Sabbakkisoppu, Sabasi (kan); chatakuppa (mal); Pakhon (mni); Shatapushpa, Misi, Shaaley, Sheetashiv, Chhatraa, Madhurikaa, Mishreyaa (san); catakuppai, kattucata kuppai (tam); Sompa (tel)",Herb,Annual,Dicot,TRY;NRCS
Angelonia biflora Benth.,Summer Snapdragon,,Herb,Perennial,Dicot,MBG
Angelonia gardneri Hook.,,,Herb,Perennial,Dicot,http://beta.floranorthamerica.org/Angelonia_gardneri;accessed on: 31 May 2020
Angophora floribunda (Sm.) Sweet,Rough-Barked Apple,,Tree,Perennial,Dicot,UTP
Angophora subvelutina F.Muell.,Broad-Leaved Apple,,Tree,Perennial,Dicot,https://qldnativeseeds.com.au/plant-profiles/angophora-subvelutina;accessed on: 31 May 2020
Anigozanthos flavidus DC.,Kangaroo Paws,,Herb,Perennial,Monocot,MBG
Annona glabra L.,Pond Apple,"Kattathi, Kattu-aatha, Kadalatha (mal)",Shrub;Tree,Perennial,Dicot,NRCS
Anoda cristata (L.) Schltdl.,Anodaweed,,Herb,Annual,Dicot,NRCS
Anredera baselloides (Kunth) Baill.,Madeira Vine,,Herb;Vine,Perennial,Dicot,NRCS;UTP
Anredera cordifolia (Ten.) Steenis,Madeira Vine,,Herb;Vine,Perennial,Dicot,NRCS
Anthemis cotula L.,Stinking Chamomile,,Herb,Annual,Dicot,TRY;NRCS
Anthoxanthum odoratum L.,Sweet Vernalgrass,,Graminoid,Perennial,Monocot,TRY;NRCS
Anthurium andraeanum Linden ex André,Flamingo Flower,,Herb,Perennial,Monocot,NRCS;FOI
Anthurium spathiphyllum N.E.Br.,,,Epiphyte,Perennial,Monocot,FPI
Antigonon leptopus Hook. & Arn.,Coral Vine,Kodi rose (tam); Anantalata (ben),Shrub;Vine,Perennial,Dicot,TRY;NRCS
Antirrhinum majus L.,Dog Flower,,Herb,Annual;Perennial,Dicot,TRY;NRCS
Aphelandra arborea (Mill.) M.R.Almeida,,,Herb;Shrub,Perennial,Dicot,FPI
Aphelandra aurantiaca (Scheidw.) Lindl.,,,Shrub,Perennial,Dicot,DG
Aphelandra scabra (Vahl) Sm.,,,Shrub,Perennial,Dicot,FPI
Aphloia theiformis (Vahl) Benn.,,,Shrub;Tree,Perennial,Dicot,DG
Apium graveolens L.,Celery,"Bari ajmod, Ajmod (hin); Bodiajamoda, Ajmud (mar); Ajmod (urd); Bodiajamodia (guj); Ugragandhika, Vastamoda, Hayagandha, Brahmakoshi (san); Jangali jwanu, Ajamodaa (npi); ",Herb,Perennial,Dicot,TRY;NRCS
Aponogeton abyssinicus Hochst. ex A.Rich.,,,Herb,Perennial,Monocot,EOL
Aponogeton distachyos L.f.,,,Herb,Perennial,Monocot,NRCS
Aquilegia vulgaris L.,Common Columbine,,Herb,Perennial,Dicot,NRCS
Arachis glabrata Benth.,Perennial peanut,,Herb,Perennial,Dicot,NRCS
Arachis pintoi Krapov. & W.C.Greg.,Pinto Peanut,,Herb,Perennial,Dicot,NRCS;FOI
Araucaria heterophylla (Salisb.) Franco,Norfolk Island Pine,,Tree,Perennial,Gymnosperm,NRCS
Arceuthobium minutissimum Hook.f.,Himalayan Dwarf Mistletoe,,Herb,Perennial,Dicot,CABI-ISC
Arceuthobium oxycedri (DC.) M.Bieb.,Juniper Dwarf Mistletoe,,Herb,Perennial,Dicot,FOI
Archontophoenix cunninghamiana (H.Wendl.) H.Wendl. & Drude,Bangalow Palm,,Shrub,Perennial,Monocot,DG
Arctium lappa L.,Greater Burdock,Pichawag (Lahaul); Kurya (npi),Herb,Biennial,Dicot,TRY;NRCS
Ardisia crenata Sims,Coral Berry,,Shrub,Perennial,Dicot,NRCS
Areca catechu L.,Betel Palm,"Chamarpushpa, guvak,guwa, khapur, pug, pugi, pungi, supari, udveg (hin); Kwa pambi (mni); pophal, pophali, pug, pugaphal, pugiphala, supari (mar); atai-k-kay, chakuntam, chamara-putpam, kamuku, kanti, kuntar-kamaku, pukam, vimpu (tam); kamuk, kavung (mal); ghonta, khapuramu, kramukamu, poka, pugamu (tel); adake,adike (kan); Supari (ben); pophala, supari (knn); ayrike, sopari (Gaujarati); akoth, chamarpushpa, guvakah, khapur, pugaphal, pugh, pugi, udveg, valktaruh (san); supari (npi)",Shrub,Perennial,Monocot,NRCS;FOI
Arenaria serpyllifolia L.,Thyme-Leaved Sandwort,,Herb,Annual,Dicot,TRY;NRCS
Arenga obtusifolia Mart.,Sumatra Sugar Palm,,Shrub,Perennial,Monocot,DG
Argemone mexicana L.,Mexican Prickly Poppy,"Balurakkisa, Mysurapala chettu (tel); Piwala dhotra (mal)",Herb,Annual,Dicot,TRY;NRCS
Argemone ochroleuca Sweet,Pale Mexican Poppy,,Herb,Annual;Perennial,Dicot,TRY;NRCS
Argemone subfusiformis Ownbey,,,Herb,Annual,Dicot,TRY
Aristea ecklonii Baker,Blue Stars Iris,Aristia (mal),Herb,Perennial,Monocot,FOI
Aristida adscensionis L.,Common Needle Grass,"Lappa (hin); bundi obina hullu, kaadu nose hullu (kan); Lampro (raj); nalla putiki, poraka gaddi (tel)",Graminoid,Annual,Monocot,TRY;NRCS
Aristida mutabilis Trin. & Rupr.,,,Graminoid,Annual,Monocot,TRY;FPI
Aristolochia inflata Kunth,,,Herb;Vine,Perennial,Dicot,FPI
"Armoracia rusticana P.Gaertn., B.Mey. & Scherb.",Horseradish,,Herb,Perennial,Dicot,NRCS
Artemisia dracunculus L.,French Tarragon,,Herb;Shrub,Perennial,Dicot,NRCS
Artemisia siversiana Ehrh. ex Willd.,Sieversian Wormwood,Kaadu davana (kan),Herb,Annual,Dicot,FOI
Arundo donax L.,Giant Reed,Kakiveduru (tel),Graminoid,Perennial,Monocot,TRY;NRCS
Asclepias curassavica L.,Scarlet Milkweed,"Kakatundi (hin); Krishnachura (mni); Pivla chitrak, Halad kunku (mar); Ding-di (lus)",Herb;Shrub,Perennial,Dicot,TRY;NRCS
Asparagus africanus Lam.,African Asparagus,,Shrub;Vine,Perennial,Monocot,TRY;NRCS
Asparagus densiflorus (Kunth) Jessop,Asparagus Fern,,Herb;Shrub,Perennial,Monocot,NRCS
Asparagus officinalis L.,Garden Asparagus,Nunggarei (mni); Kurilo (npi),Herb,Perennial,Monocot,TRY;NRCS
Asphodelus tenuifolius Cav.,Onion Weed,,Herb,Perennial,Monocot,TRY;NRCS
Aster amellus L.,Italian Aster,,Herb,Perennial,Dicot,NRCS
Atriplex hortensis L.,Garden Orache,"Vasta Haak (kas); chakvata, chakkotanasoppu (kan)",Herb,Annual,Dicot,NRCS
Atriplex vesicaria Heward ex Benth.,,,Shrub,Perennial,Dicot,NRCS
Attalea speciosa Mart.,Babassu Palm,,Tree,Perennial,Monocot,NRCS;EOL
Avena sativa L.,Common Oat,,Graminoid,Annual,Monocot,TRY;NRCS
Avena sterilis L.,Winter Wild Coat,,Graminoid,Annual,Monocot,NRCS
Axonopus compressus (Sw.) P.Beauv.,Carpetgrass,Kaalappullu (mal),Graminoid,Perennial,Monocot,TRY;NRCS
Axonopus fissifolius (Raddi) Kuhlm.,Common  Carpetgrass,,Graminoid,Perennial,Monocot,NRCS
Ayapana triplinervis (Vahl) R.M.King & H.Rob.,Water Hemp,"Ayyappana, Vishapacha, Ayyabana (mal)",Herb;Shrub,Perennial,Dicot,NRCS
Azadirachta indica A.Juss.,Neem,"Yapachettu (tel); Vembu (tam), Nimb (mal)",Tree,Perennial,Dicot,TRY;NRCS
Azolla filiculoides Lam.,Water Fern,,Herb,Annual,Fern,NRCS
Babiana stricta (Aiton) Ker Gawl.,Baboon Flower,,Bulb,Perennial,Monocot,FPI
Babiana villosa (Aiton) Ker Gawl.,Baboon Flower,,Bulb,Perennial,Monocot,DG
