Acc_Species_Name,Class,Order ,Family,Genus,Species,Authority,Invasion.Status,Source
Acacia senegal (L.) Willd.,Magnoliopsida,Fabales,Fabaceae,Acacia,senegal,(L.) Willd.,N,ILORA_Sp.Categorization.Metadata
Acacia sphaerocephala Cham. & Schltdl.,Magnoliopsida,Fabales,Fabaceae,Acacia,sphaerocephala,Cham. & Schltdl.,CA,ILORA_Sp.Categorization.Metadata
Acacia truncata Hoffmanns.,Magnoliopsida,Fabales,Fabaceae,Acacia,truncata,Hoffmanns.,CA,ILORA_Sp.Categorization.Metadata
Acacia verticillata (L'Her.) Willd.,Magnoliopsida,Fabales,Fabaceae,Acacia,verticillata,(L'Her.) Willd.,CA,ILORA_Sp.Categorization.Metadata
Acalypha ciliata Forssk.,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,ciliata,Forssk.,N,ILORA_Sp.Categorization.Metadata
Acanthospermum hispidum DC.,Magnoliopsida,Asterales,Asteraceae,Acanthospermum,hispidum,DC.,In,ILORA_Sp.Categorization.Metadata
Acanthus mollis L.,Magnoliopsida,Lamiales,Acanthaceae,Acanthus,mollis,L.,CA,ILORA_Sp.Categorization.Metadata
Acanthus montanus (Nees) T.Anderson,Magnoliopsida,Lamiales,Acanthaceae,Acanthus,montanus,(Nees) T.Anderson,CA,ILORA_Sp.Categorization.Metadata
Acer pseudoplatanus L.,Magnoliopsida,Sapindales,Sapindaceae,Acer,pseudoplatanus,L.,CA,ILORA_Sp.Categorization.Metadata
Achetaria azurea (Linden) V.C.Souza,Magnoliopsida,Lamiales,Plantaginaceae,Achetaria,azurea,(Linden) V.C.Souza,CA,ILORA_Sp.Categorization.Metadata
Achillea millefolium L.,Magnoliopsida,Asterales,Asteraceae,Achillea,millefolium,L.,N,ILORA_Sp.Categorization.Metadata
Achimenes longiflora DC.,Magnoliopsida,Geraniales,Gesneriaceae,Achimenes,longiflora,DC.,CA,ILORA_Sp.Categorization.Metadata
Achyranthes aspera L.,Magnoliopsida,Caryophyllales,Amaranthaceae,Achyranthes,aspera,L.,N,ILORA_Sp.Categorization.Metadata
Acmella ciliata (Kunth) Cass.,Magnoliopsida,Asterales,Asteraceae,Acmella,ciliata,(Kunth) Cass.,Nt,ILORA_Sp.Categorization.Metadata
Acmella radicans (Jacq.) R.K.Jansen,Magnoliopsida,Asterales,Asteraceae,Acmella,radicans,(Jacq.) R.K.Jansen,In,ILORA_Sp.Categorization.Metadata
Acmella uliginosa (Sw.) Cass.,Magnoliopsida,Asterales,Asteraceae,Acmella,uliginosa,(Sw.) Cass.,Nt,ILORA_Sp.Categorization.Metadata
Adenophyllum cooperi (A.Gray) Strother,Magnoliopsida,Asterales,Asteraceae,Adenophyllum,cooperi,(A.Gray) Strother,CA,ILORA_Sp.Categorization.Metadata
Adenostemma lavenia (L.) Kuntze,Magnoliopsida,Asterales,Asteraceae,Adenostemma,lavenia,(L.) Kuntze,CA,ILORA_Sp.Categorization.Metadata
Adonidia merrillii (Becc.) Becc.,Liliopsida,Arecales,Arecaceae,Adonidia,merrillii,(Becc.) Becc.,CA,ILORA_Sp.Categorization.Metadata
Aechmea nudicaulis (L.) Griseb.,Liliopsida,Poales,Bromeliaceae,Aechmea,nudicaulis,(L.) Griseb.,CA,ILORA_Sp.Categorization.Metadata
Aeluropus lagopoides (L.) Thwaites,Liliopsida,Poales,Poaceae,Aeluropus,lagopoides,(L.) Thwaites,N,ILORA_Sp.Categorization.Metadata
Aeonium arboreum Webb & Berthel.,Magnoliopsida,Saxifragales,Crassulaceae,Aeonium,arboreum,Webb & Berthel.,CA,ILORA_Sp.Categorization.Metadata
Aerva javanica (Burm.f.) Juss. ex Schult.,Magnoliopsida,Caryophyllales,Amaranthaceae,Aerva,javanica,(Burm.f.) Juss. ex Schult.,N,ILORA_Sp.Categorization.Metadata
Aeschynomene americana L.,Magnoliopsida,Fabales,Fabaceae,Aeschynomene,americana,L.,In,ILORA_Sp.Categorization.Metadata
Aeschynomene brasiliana (Poir.) DC.,Magnoliopsida,Fabales,Fabaceae,Aeschynomene,brasiliana,(Poir.) DC.,CA,ILORA_Sp.Categorization.Metadata
Aeschynomene indica L.,Magnoliopsida,Fabales,Fabaceae,Aeschynomene,indica,L.,N,ILORA_Sp.Categorization.Metadata
Agapanthus africanus (L.) Hoffmanns.,Liliopsida,Asparagales,Amaryllidaceae,Agapanthus,africanus,(L.) Hoffmanns.,CA,ILORA_Sp.Categorization.Metadata
Agapanthus praecox Willd.,Liliopsida,Asparagales,Amaryllidaceae,Agapanthus,praecox,Willd.,CA,ILORA_Sp.Categorization.Metadata
Agave americana L.,Liliopsida,Asparagales,Asparagaceae,Agave,americana,L.,Nt,ILORA_Sp.Categorization.Metadata
Agave cantala (Haw.) Roxb. ex Salm-Dyck,Liliopsida,Asparagales,Asparagaceae,Agave,cantala,(Haw.) Roxb. ex Salm-Dyck,CA,ILORA_Sp.Categorization.Metadata
Agave salmiana Otto ex Salm-Dyck,Liliopsida,Asparagales,Asparagaceae,Agave,salmiana,Otto ex Salm-Dyck,CA,ILORA_Sp.Categorization.Metadata
Agave vera-cruz Mill.,Liliopsida,Asparagales,Asparagaceae,Agave,vera-cruz,Mill.,Nt,ILORA_Sp.Categorization.Metadata
Agave vivipara L.,Liliopsida,Asparagales,Asparagaceae,Agave,vivipara,L.,Nt,ILORA_Sp.Categorization.Metadata
Ageratina adenophora (Spreng.) R.M.King & H.Rob.,Magnoliopsida,Asterales,Asteraceae,Ageratina,adenophora,(Spreng.) R.M.King & H.Rob.,In,ILORA_Sp.Categorization.Metadata
Ageratina ligustrina (DC.) R.M.King & H.Rob.,Magnoliopsida,Asterales,Asteraceae,Ageratina,ligustrina,(DC.) R.M.King & H.Rob.,Nt,ILORA_Sp.Categorization.Metadata
Ageratina riparia (Regel) R.M.King & H.Rob.,Magnoliopsida,Asterales,Asteraceae,Ageratina,riparia,(Regel) R.M.King & H.Rob.,In,ILORA_Sp.Categorization.Metadata
Ageratum conyzoides (L.) L.,Magnoliopsida,Asterales,Asteraceae,Ageratum,conyzoides,(L.) L.,In,ILORA_Sp.Categorization.Metadata
Ageratum houstonianum Mill.,Magnoliopsida,Asterales,Asteraceae,Ageratum,houstonianum,Mill.,In,ILORA_Sp.Categorization.Metadata
Agonis flexuosa (Muhl. ex Willd.) Sweet,Magnoliopsida,Myrtales,Myrtaceae,Agonis,flexuosa,(Muhl. ex Willd.) Sweet,CA,ILORA_Sp.Categorization.Metadata
Agrostemma githago L.,Magnoliopsida,Caryophyllales,Caryophyllaceae,Agrostemma,githago,L.,CA,ILORA_Sp.Categorization.Metadata
Agrostis idahoensis Nash,Liliopsida,Poales,Poaceae,Agrostis,idahoensis,Nash,Nt,ILORA_Sp.Categorization.Metadata
Aidia cochinchinensis Lour.,Magnoliopsida,Gentianales,Rubiaceae,Aidia,cochinchinensis,Lour.,CA,ILORA_Sp.Categorization.Metadata
Ailanthus altissima (Mill.) Swingle,Magnoliopsida,Sapindales,Simaroubaceae,Ailanthus,altissima,(Mill.) Swingle,In,ILORA_Sp.Categorization.Metadata
Aiphanes horrida (Jacq.) Burret,Liliopsida,Arecales,Arecaceae,Aiphanes,horrida,(Jacq.) Burret,CA,ILORA_Sp.Categorization.Metadata
Albizia lebbeck (L.) Benth.,Magnoliopsida,Fabales,Fabaceae,Albizia,lebbeck,(L.) Benth.,N,ILORA_Sp.Categorization.Metadata
Albizia niopoides (Benth.) Burkart,Magnoliopsida,Fabales,Fabaceae,Albizia,niopoides,(Benth.) Burkart,CA,ILORA_Sp.Categorization.Metadata
Alcea rosea L.,Magnoliopsida,Malvales,Malvaceae,Alcea,rosea,L.,CA,ILORA_Sp.Categorization.Metadata
Aleurites rockinghamensis (Baill.) P.I.Forst.,Magnoliopsida,Malpighiales,Euphorbiaceae,Aleurites,rockinghamensis,(Baill.) P.I.Forst.,CA,ILORA_Sp.Categorization.Metadata
Alisma gramineum Lej.,Liliopsida,Alismatales,Alismataceae,Alisma,gramineum,Lej.,N,ILORA_Sp.Categorization.Metadata
Alisma lanceolatum With.,Liliopsida,Alismatales,Alismataceae,Alisma,lanceolatum,With.,CA,ILORA_Sp.Categorization.Metadata
Allamanda cathartica L.,Magnoliopsida,Gentianales,Apocynaceae,Allamanda,cathartica,L.,CA,ILORA_Sp.Categorization.Metadata
Alliaria petiolata (M.Bieb.) Cavara & Grande,Magnoliopsida,Brassicales,Brassicaceae,Alliaria,petiolata,(M.Bieb.) Cavara & Grande,N,ILORA_Sp.Categorization.Metadata
Allium ampeloprasum L.,Liliopsida,Asparagales,Amaryllidaceae,Allium,ampeloprasum,L.,CA,ILORA_Sp.Categorization.Metadata
Allocasuarina acuaria (F.Muell.) L.A.S.Johnson,Magnoliopsida,Fagales,Casuarinaceae,Allocasuarina,acuaria,(F.Muell.) L.A.S.Johnson,CA,ILORA_Sp.Categorization.Metadata
Allocasuarina littoralis (Salisb.) L.A.S.Johnson,Magnoliopsida,Fagales,Casuarinaceae,Allocasuarina,littoralis,(Salisb.) L.A.S.Johnson,Nt,ILORA_Sp.Categorization.Metadata
Allocasuarina torulosa (Aiton) L.A.S.Johnson,Magnoliopsida,Fagales,Casuarinaceae,Allocasuarina,torulosa,(Aiton) L.A.S.Johnson,CA,ILORA_Sp.Categorization.Metadata
Allocasuarina verticillata (Lam.) L.A.S.Johnson,Magnoliopsida,Fagales,Casuarinaceae,Allocasuarina,verticillata,(Lam.) L.A.S.Johnson,CA,ILORA_Sp.Categorization.Metadata
Alnus glutinosa (L.) Gaertn.,Magnoliopsida,Fagales,Betulaceae,Alnus,glutinosa,(L.) Gaertn.,CA,ILORA_Sp.Categorization.Metadata
Aloe vera (L.) Burm.f.,Liliopsida,Asparagales,Asphodelaceae,Aloe,vera,(L.) Burm.f.,CA,ILORA_Sp.Categorization.Metadata
Alopecurus aequalis Sobol.,Liliopsida,Poales,Poaceae,Alopecurus,aequalis,Sobol.,Nt,ILORA_Sp.Categorization.Metadata
Alopecurus arundinaceus Poir.,Liliopsida,Poales,Poaceae,Alopecurus,arundinaceus,Poir.,N,ILORA_Sp.Categorization.Metadata
Aloysia citriodora Palau,Magnoliopsida,Lamiales,Verbenaceae,Aloysia,citriodora,Palau,CA,ILORA_Sp.Categorization.Metadata
Alphitonia excelsa (Fenzl) Reissek ex Benth.,Magnoliopsida,Rosales,Rhamnaceae,Alphitonia,excelsa,(Fenzl) Reissek ex Benth.,CA,ILORA_Sp.Categorization.Metadata
Alpinia oceanica Burkill,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,oceanica,Burkill,CG,ILORA_Sp.Categorization.Metadata
Alpinia purpurata (Vieill.) K.Schum.,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,purpurata,(Vieill.) K.Schum.,CA,ILORA_Sp.Categorization.Metadata
Alpinia vittata W.Bull,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,vittata,W.Bull,CA,ILORA_Sp.Categorization.Metadata
Alstonia neriifolia D.Don,Magnoliopsida,Gentianales,Apocynaceae,Alstonia,neriifolia,D.Don,N,ILORA_Sp.Categorization.Metadata
Alstroemeria aurea Graham,Liliopsida,Liliales,Alstroemeriaceae,Alstroemeria,aurea,Graham,CA,ILORA_Sp.Categorization.Metadata
Alternanthera bettzickiana (Regel) G.Nicholson,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,bettzickiana,(Regel) G.Nicholson,In,ILORA_Sp.Categorization.Metadata
Alternanthera brasiliana (L.) Kuntze,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,brasiliana,(L.) Kuntze,In,ILORA_Sp.Categorization.Metadata
Alternanthera caracasana Kunth,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,caracasana,Kunth,CA,ILORA_Sp.Categorization.Metadata
Alternanthera ficoidea (L.) Sm.,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,ficoidea,(L.) Sm.,In,ILORA_Sp.Categorization.Metadata
Alternanthera littoralis P.Beauv.,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,littoralis,P.Beauv.,Nt,ILORA_Sp.Categorization.Metadata
Alternanthera paronychioides A.St.-Hil.,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,paronychioides,A.St.-Hil.,In,ILORA_Sp.Categorization.Metadata
Alternanthera philoxeroides (Mart.) Griseb.,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,philoxeroides,(Mart.) Griseb.,In,ILORA_Sp.Categorization.Metadata
Alternanthera pungens Kunth,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,pungens,Kunth,In,ILORA_Sp.Categorization.Metadata
Alternanthera sessilis (L.) R.Br. ex DC.,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,sessilis,(L.) R.Br. ex DC.,N,ILORA_Sp.Categorization.Metadata
Alternanthera spinosa (Hornem.) Schult.,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,spinosa,(Hornem.) Schult.,In,ILORA_Sp.Categorization.Metadata
Althaea ludwigii L.,Magnoliopsida,Malvales,Malvaceae,Althaea,ludwigii,L.,N,ILORA_Sp.Categorization.Metadata
Althaea officinalis L.,Magnoliopsida,Malvales,Malvaceae,Althaea,officinalis,L.,CA,ILORA_Sp.Categorization.Metadata
Alysicarpus vaginalis (L.) DC.,Magnoliopsida,Fabales,Fabaceae,Alysicarpus,vaginalis,(L.) DC.,N,ILORA_Sp.Categorization.Metadata
Amaranthus blitum L.,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,blitum,L.,N,ILORA_Sp.Categorization.Metadata
Amaranthus caudatus L.,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,caudatus,L.,Nt,ILORA_Sp.Categorization.Metadata
Amaranthus cruentus L.,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,cruentus,L.,Nt,ILORA_Sp.Categorization.Metadata
Amaranthus hybridus L.,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,hybridus,L.,Nt,ILORA_Sp.Categorization.Metadata
Amaranthus palmeri S.Watson,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,palmeri,S.Watson,In,ILORA_Sp.Categorization.Metadata
Amaranthus polygonoides L.,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,polygonoides,L.,CA,ILORA_Sp.Categorization.Metadata
Amaranthus retroflexus L.,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,retroflexus,L.,CA,ILORA_Sp.Categorization.Metadata
Amaranthus spinosus L.,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,spinosus,L.,In,ILORA_Sp.Categorization.Metadata
Amaranthus tricolor L.,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,tricolor,L.,N,ILORA_Sp.Categorization.Metadata
Amaranthus viridis L.,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,viridis,L.,CA,ILORA_Sp.Categorization.Metadata
Amaryllis belladonna L.,Liliopsida,Asparagales,Amaryllidaceae,Amaryllis,belladonna,L.,CA,ILORA_Sp.Categorization.Metadata
Ambrosia artemisiifolia L.,Magnoliopsida,Asterales,Asteraceae,Ambrosia,artemisiifolia,L.,In,ILORA_Sp.Categorization.Metadata
Ambrosia polystachya DC.,Magnoliopsida,Asterales,Asteraceae,Ambrosia,polystachya,DC.,CA,ILORA_Sp.Categorization.Metadata
Amphilophium buccinatorium (DC.) L.G.Lohmann,Magnoliopsida,Lamiales,Bignoniaceae,Amphilophium,buccinatorium,(DC.) L.G.Lohmann,CA,ILORA_Sp.Categorization.Metadata
Anacardium occidentale L.,Magnoliopsida,Sapindales,Anacardiaceae,Anacardium,occidentale,L.,Nt,ILORA_Sp.Categorization.Metadata
Anacyclus australis Sieber,Magnoliopsida,Asterales,Asteraceae,Anacyclus,australis,Sieber,CA,ILORA_Sp.Categorization.Metadata
Anagallis arvensis L.,Magnoliopsida,Ericales,Primulaceae,Anagallis,arvensis,L.,Nt,ILORA_Sp.Categorization.Metadata
Andropogon hallii Hack.,Liliopsida,Poales,Poaceae,Andropogon,hallii,Hack.,CA,ILORA_Sp.Categorization.Metadata
Anemone hupehensis (É.Lemoine) É.Lemoine,Magnoliopsida,Ranunculales ,Ranunculaceae,Anemone,hupehensis,(É.Lemoine) É.Lemoine,N,ILORA_Sp.Categorization.Metadata
Anethum graveolens L.,Magnoliopsida,Apiales ,Apiaceae,Anethum,graveolens,L.,Nt,ILORA_Sp.Categorization.Metadata
Angelonia biflora Benth.,Magnoliopsida,Lamiales,Plantaginaceae,Angelonia,biflora,Benth.,CA,ILORA_Sp.Categorization.Metadata
Angelonia gardneri Hook.,Magnoliopsida,Lamiales,Plantaginaceae,Angelonia,gardneri,Hook.,CA,ILORA_Sp.Categorization.Metadata
Angophora floribunda (Sm.) Sweet,Magnoliopsida,Myrtales,Myrtaceae,Angophora,floribunda,(Sm.) Sweet,CA,ILORA_Sp.Categorization.Metadata
Angophora subvelutina F.Muell.,Magnoliopsida,Myrtales,Myrtaceae,Angophora,subvelutina,F.Muell.,CA,ILORA_Sp.Categorization.Metadata
Anigozanthos flavidus DC.,Liliopsida,Commelinales,Haemodoraceae,Anigozanthos,flavidus,DC.,CA,ILORA_Sp.Categorization.Metadata
Annona glabra L.,Magnoliopsida,Magnoliales,Annonaceae,Annona,glabra,L.,In,ILORA_Sp.Categorization.Metadata
Anoda cristata (L.) Schltdl.,Magnoliopsida,Malvales,Malvaceae,Anoda,cristata,(L.) Schltdl.,CA,ILORA_Sp.Categorization.Metadata
Anredera baselloides (Kunth) Baill.,Magnoliopsida,Caryophyllales,Basellaceae,Anredera,baselloides,(Kunth) Baill.,CA,ILORA_Sp.Categorization.Metadata
Anredera cordifolia (Ten.) Steenis,Magnoliopsida,Caryophyllales,Basellaceae,Anredera,cordifolia,(Ten.) Steenis,CA,ILORA_Sp.Categorization.Metadata
Anthemis cotula L.,Magnoliopsida,Asterales,Asteraceae,Anthemis,cotula,L.,In,ILORA_Sp.Categorization.Metadata
Anthoxanthum odoratum L.,Liliopsida,Poales,Poaceae,Anthoxanthum,odoratum,L.,Nt,ILORA_Sp.Categorization.Metadata
Anthurium andraeanum Linden ex André,Liliopsida,Alismatales,Araceae,Anthurium,andraeanum,Linden ex André,CA,ILORA_Sp.Categorization.Metadata
Anthurium spathiphyllum N.E.Br.,Liliopsida,Alismatales,Araceae,Anthurium,spathiphyllum,N.E.Br.,CA,ILORA_Sp.Categorization.Metadata
Antigonon leptopus Hook. & Arn.,Magnoliopsida,Caryophyllales,Polygonaceae,Antigonon,leptopus,Hook. & Arn.,In,ILORA_Sp.Categorization.Metadata
Antirrhinum majus L.,Magnoliopsida,Lamiales,Plantaginaceae,Antirrhinum,majus,L.,CA,ILORA_Sp.Categorization.Metadata
Aphelandra arborea (Mill.) M.R.Almeida,Magnoliopsida,Lamiales,Acanthaceae,Aphelandra,arborea,(Mill.) M.R.Almeida,CA,ILORA_Sp.Categorization.Metadata
Aphelandra aurantiaca (Scheidw.) Lindl.,Magnoliopsida,Lamiales,Acanthaceae,Aphelandra,aurantiaca,(Scheidw.) Lindl.,CA,ILORA_Sp.Categorization.Metadata
Aphelandra scabra (Vahl) Sm.,Magnoliopsida,Lamiales,Acanthaceae,Aphelandra,scabra,(Vahl) Sm.,CA,ILORA_Sp.Categorization.Metadata
Aphloia theiformis (Vahl) Benn.,Magnoliopsida,Crossosomatales,Aphloiaceae,Aphloia,theiformis,(Vahl) Benn.,CA,ILORA_Sp.Categorization.Metadata
Apium graveolens L.,Magnoliopsida,Apiales ,Apiaceae,Apium,graveolens,L.,CA,ILORA_Sp.Categorization.Metadata
Aponogeton abyssinicus Hochst. ex A.Rich.,Liliopsida,Alismatales,Aponogetonaceae,Aponogeton,abyssinicus,Hochst. ex A.Rich.,CA,ILORA_Sp.Categorization.Metadata
Aponogeton distachyos L.f.,Liliopsida,Alismatales,Aponogetonaceae,Aponogeton,distachyos,L.f.,CA,ILORA_Sp.Categorization.Metadata
Aquilegia vulgaris L.,Magnoliopsida,Ranunculales,Ranunculaceae,Aquilegia,vulgaris,L.,CA,ILORA_Sp.Categorization.Metadata
Arachis glabrata Benth.,Magnoliopsida,Fabales,Fabaceae,Arachis,glabrata,Benth.,CA,ILORA_Sp.Categorization.Metadata
Arachis pintoi Krapov. & W.C.Greg.,Magnoliopsida,Fabales,Fabaceae,Arachis,pintoi,Krapov. & W.C.Greg.,CA,ILORA_Sp.Categorization.Metadata
Araucaria heterophylla (Salisb.) Franco,Pinopsida,Pinales,Araucariaceae,Araucaria,heterophylla,(Salisb.) Franco,CA,ILORA_Sp.Categorization.Metadata
Arceuthobium minutissimum Hook.f.,Magnoliopsida,Santalales,Santalaceae,Arceuthobium,minutissimum,Hook.f.,N,ILORA_Sp.Categorization.Metadata
Arceuthobium oxycedri (DC.) M.Bieb.,Magnoliopsida,Santalales,Santalaceae,Arceuthobium,oxycedri,(DC.) M.Bieb.,N,ILORA_Sp.Categorization.Metadata
Archontophoenix cunninghamiana (H.Wendl.) H.Wendl. & Drude,Liliopsida,Arecales,Arecaceae,Archontophoenix,cunninghamiana,(H.Wendl.) H.Wendl. & Drude,CA,ILORA_Sp.Categorization.Metadata
Arctium lappa L.,Magnoliopsida,Asterales,Asteraceae,Arctium,lappa,L.,N,ILORA_Sp.Categorization.Metadata
Ardisia crenata Sims,Magnoliopsida,Ericales,Primulaceae,Ardisia,crenata,Sims,N,ILORA_Sp.Categorization.Metadata
Areca catechu L.,Liliopsida,Arecales,Arecaceae,Areca,catechu,L.,CA,ILORA_Sp.Categorization.Metadata
Arenaria serpyllifolia L.,Magnoliopsida,Caryophyllales,Caryophyllaceae,Arenaria,serpyllifolia,L.,N,ILORA_Sp.Categorization.Metadata
Arenga obtusifolia Mart.,Liliopsida,Arecales,Arecaceae,Arenga,obtusifolia,Mart.,CA,ILORA_Sp.Categorization.Metadata
Argemone mexicana L.,Magnoliopsida,Ranunculales,Papaveraceae,Argemone,mexicana,L.,In,ILORA_Sp.Categorization.Metadata
Argemone ochroleuca Sweet,Magnoliopsida,Ranunculales,Papaveraceae,Argemone,ochroleuca,Sweet,In,ILORA_Sp.Categorization.Metadata
Argemone subfusiformis Ownbey,Magnoliopsida,Ranunculales,Papaveraceae,Argemone,subfusiformis,Ownbey,Nt,ILORA_Sp.Categorization.Metadata
Aristea ecklonii Baker,Liliopsida,Asparagales,Iridaceae,Aristea,ecklonii,Baker,In,ILORA_Sp.Categorization.Metadata
Aristida adscensionis L.,Liliopsida,Poales,Poaceae,Aristida,adscensionis,L.,N,ILORA_Sp.Categorization.Metadata
Aristida mutabilis Trin. & Rupr.,Liliopsida,Poales,Poaceae,Aristida,mutabilis,Trin. & Rupr.,N,ILORA_Sp.Categorization.Metadata
Aristolochia inflata Kunth,Magnoliopsida,Piperales,Aristolochiaceae,Aristolochia,inflata,Kunth,CA,ILORA_Sp.Categorization.Metadata
"Armoracia rusticana P.Gaertn., B.Mey. & Scherb.",Magnoliopsida,Brassicales,Brassicaceae,Armoracia,rusticana,"P.Gaertn., B.Mey. & Scherb.",CA,ILORA_Sp.Categorization.Metadata
Artemisia dracunculus L.,Magnoliopsida,Asterales,Asteraceae,Artemisia,dracunculus,L.,N,ILORA_Sp.Categorization.Metadata
Artemisia siversiana Ehrh. ex Willd.,Magnoliopsida,Asterales,Asteraceae,Artemisia,siversiana,Ehrh. ex Willd.,N,ILORA_Sp.Categorization.Metadata
Arundo donax L.,Liliopsida,Poales,Poaceae,Arundo,donax,L.,N,ILORA_Sp.Categorization.Metadata
Asclepias curassavica L.,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,curassavica,L.,In,ILORA_Sp.Categorization.Metadata
